192.168.11.163,192.168.1.174,31238
192.168.11.163,email.flexibleplan.com,48
192.168.11.163,ocsp.digicert.com,44
192.168.11.163,g.live.com,20
192.168.11.163,updates.cdc.carbonblack.io,15
192.168.11.163,crl.pki.goog,8
192.168.11.163,detectportal.firefox.com,6
192.168.11.163,redirector.gvt1.com,6
192.168.11.163,ctldl.windowsupdate.com,4
192.168.11.163,r1---sn-vgqsrned.gvt1.com,4
192.168.11.163,blob.weather.microsoft.com,3
192.168.11.163,192.168.11.73,2
192.168.11.163,ocsp.pki.goog,2
192.168.11.163,r2---sn-vgqsrn7l.gvt1.com,2
192.168.11.163,weather.service.msn.com,2
192.168.11.163,acroipm2.adobe.com,1
192.168.11.163,au.download.windowsupdate.com,1
192.168.11.163,autodiscover.flexibleplan.com,1
192.168.11.163,download.amd.com,1
192.168.11.163,ocsp.msocsp.com,1
192.168.11.163,status.thawte.com,1
192.168.11.163,www.flexibleplan.com,1
192.168.11.152,192.168.1.174,29583
192.168.11.152,cdn.content.prod.cms.msn.com,90
192.168.11.152,hotline.flexibleplan.com,70
192.168.11.152,imsappserverprod,59
192.168.11.152,api-public.addthis.com,22
192.168.11.152,graph.facebook.com,22
192.168.11.152,g.live.com,20
192.168.11.152,m.addthis.com,19
192.168.11.152,www.google-analytics.com,18
192.168.11.152,updates.cdc.carbonblack.io,16
192.168.11.152,ocsp.digicert.com,11
192.168.11.152,redirector.gvt1.com,11
192.168.11.152,www.flexibleplan.com,9
192.168.11.152,r2---sn-vgqsrn76.gvt1.com,5
192.168.11.152,r2---sn-vgqsrn7l.gvt1.com,5
192.168.11.152,weather.service.msn.com,5
192.168.11.152,ctldl.windowsupdate.com,4
192.168.11.152,email.acuityscheduling.com,4
192.168.11.152,m.addthisedge.com,3
192.168.11.152,s7.addthis.com,3
192.168.11.152,su.addthis.com,3
192.168.11.152,analytics.clickdimensions.com,2
192.168.11.152,au.download.windowsupdate.com,2
192.168.11.152,imsloggingserviceprod,2
192.168.11.152,ocsp.msocsp.com,2
192.168.11.152,portal.flexibleplan.com,2
192.168.11.152,tags.bluekai.com,2
192.168.11.152,acroipm2.adobe.com,1
192.168.11.152,autodiscover.flexibleplan.com,1
192.168.11.152,cspix.media6degrees.com,1
192.168.11.152,download.amd.com,1
192.168.11.152,email.flexibleplan.com,1
192.168.11.152,emdl.ws.microsoft.com,1
192.168.11.152,r1---sn-vgqsrned.gvt1.com,1
192.168.11.152,track.eyeviewads.com,1
192.168.11.152,www.msftncsi.com,1
192.168.11.152,www.wtp101.com,1
192.168.11.142,192.168.1.174,29091
192.168.11.142,fpinv-gfi1001,152
192.168.11.142,ocsp.digicert.com,65
192.168.11.142,localpages.com,44
192.168.11.142,hotline.flexibleplan.com,40
192.168.11.142,px.moatads.com,40
192.168.11.142,www.flexibleplan.com,35
192.168.11.142,www.gfainvestments.com,30
192.168.11.142,imsappserverprod,23
192.168.11.142,ocsp.sca1b.amazontrust.com,23
192.168.11.142,portal.flexibleplan.com,21
192.168.11.142,email.flexibleplan.com,20
192.168.11.142,g.live.com,20
192.168.11.142,updates.cdc.carbonblack.io,19
192.168.11.142,ocsp.comodoca.com,18
192.168.11.142,goto.flexibleplan.com,16
192.168.11.142,ocsp.pki.goog,14
192.168.11.142,www.google-analytics.com,12
192.168.11.142,ocsp.int-x3.letsencrypt.org,11
